Timestamp,coil,fan,T1,T2,Level,CV,pump
2017-01-16 14:30,1,1,30.7,31.7,22.1,50,100
2017-01-16 14:30,1,1,30.7,31.7,22,50,100
2017-01-16 14:30,1,1,30.8,31.7,22,50,100
2017-01-16 14:30,1,1,30.7,31.7,22,50,100
2017-01-16 14:30,1,1,30.8,31.6,22,50,100
2017-01-16 14:30,1,1,30.8,31.7,22,50,100
2017-01-16 14:30,1,1,30.8,31.6,22,50,100
2017-01-16 14:30,1,1,30.7,31.7,22,50,100
2017-01-16 14:30,1,1,30.8,31.6,22,50,100
2017-01-16 14:30,1,1,30.8,31.7,22,50,100
2017-01-16 14:30,1,1,30.7,31.7,22,50,100
2017-01-16 14:30,1,1,30.7,31.7,22,50,100
2017-01-16 14:30,1,1,30.8,31.7,22,50,100
2017-01-16 14:30,1,1,30.7,31.6,22.1,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.1,50,100
2017-01-16 14:30,1,1,30.8,31.6,22.1,50,100
2017-01-16 14:30,1,1,30.8,31.6,22.1,50,100
2017-01-16 14:30,1,1,30.8,31.7,22.1,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.1,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.1,50,100
2017-01-16 14:30,1,1,30.8,31.7,22.1,50,100
2017-01-16 14:30,1,1,30.7,31.6,22.1,50,100
2017-01-16 14:30,1,1,30.8,31.6,22.1,50,100
2017-01-16 14:30,1,1,30.8,31.6,22.1,50,100
2017-01-16 14:30,1,1,30.8,31.7,22.1,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.1,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.1,50,100
2017-01-16 14:30,1,1,30.8,31.7,22.1,50,100
2017-01-16 14:30,1,1,30.7,31.6,22.1,50,100
2017-01-16 14:30,1,1,30.7,31.6,22.1,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.1,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.1,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.1,50,100
2017-01-16 14:30,1,1,30.7,31.6,22.1,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.1,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.1,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.1,50,100
2017-01-16 14:30,1,1,30.8,31.7,22.1,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.2,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.2,50,100
2017-01-16 14:30,1,1,30.8,31.6,22.2,50,100
2017-01-16 14:30,1,1,30.7,31.6,22.2,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.2,50,100
2017-01-16 14:30,1,1,30.8,31.6,22.2,50,100
2017-01-16 14:30,1,1,30.7,31.6,22.2,50,100
2017-01-16 14:30,1,1,30.8,31.7,22.2,50,100
2017-01-16 14:30,1,1,30.7,31.6,22.2,50,100
2017-01-16 14:30,1,1,30.7,31.6,22.2,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.2,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.2,50,100
2017-01-16 14:30,1,1,30.8,31.6,22.2,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.2,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.2,50,100
2017-01-16 14:30,1,1,30.8,31.7,22.2,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.2,50,100
2017-01-16 14:30,1,1,30.8,31.7,22.2,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.2,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.2,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.2,50,100
2017-01-16 14:30,1,1,30.7,31.6,22.2,50,100
2017-01-16 14:30,1,1,30.7,31.6,22.2,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.2,50,100
2017-01-16 14:30,1,1,30.8,31.6,22.2,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.3,50,100
2017-01-16 14:30,1,1,30.7,31.6,22.2,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.2,50,100
2017-01-16 14:30,1,1,30.7,31.6,22.3,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.3,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.3,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.3,50,100
2017-01-16 14:30,1,1,30.7,31.6,22.3,50,100
2017-01-16 14:30,1,1,30.7,31.6,22.3,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.3,50,100
2017-01-16 14:30,1,1,30.7,31.6,22.3,50,100
2017-01-16 14:30,1,1,30.7,31.7,22.3,50,100
